# MEAN_SAMPLE_SIZE = 321
# TOTAL_GENES = 3123
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
R-HSA-6807505       SET      10      0.08003    0.0045221      0.32593      0.40303
R-HSA-380270        SET      10      0.18494      0.01045      0.36913       0.3082
R-HSA-201451        SET       3      0.37567      0.01164      0.77487      0.31392
R-HSA-2173795       SET       5     -0.15897   -0.0063566      0.56493      0.61079
R-HSA-139915        SET       3     -0.86189    -0.026705      0.67232      0.90002
R-HSA-6803204       SET       4     -0.76595    -0.027399      0.58066      0.90638
R-HSA-6803205       SET       2      -1.1046     -0.02795      0.82324      0.91012
R-HSA-6803207       SET       3      -1.1539    -0.035751      0.67228       0.9569
R-HSA-6803211       SET       3     -0.82338    -0.025511      0.67158      0.88986
R-HSA-6804759       SET       3      -1.3182    -0.040842      0.66897      0.97556
R-HSA-8939236       SET       8      0.33567      0.01697      0.40734      0.20499
R-HSA-1296072       SET      10     -0.43415    -0.024532      0.36904      0.88024
R-HSA-6798695       SET      71     -0.13287    -0.019808      0.14071      0.82744
R-HSA-1475029       SET       2      -1.0956    -0.027721      0.81972      0.90927
R-HSA-1257604       SET      23      0.14847     0.012696      0.24765      0.27444
R-HSA-1660499       SET       5     -0.71247     -0.02849       0.5167      0.91598
R-HSA-2219530       SET      17      0.38103      0.02804      0.28899     0.093719
R-HSA-512988        SET       2     -0.41765    -0.010567      0.82117      0.69446
R-HSA-6811558       SET      22      0.26219     0.021931      0.25744      0.15428
R-HSA-8853659       SET      11     -0.64928    -0.038472      0.34898      0.96854
R-HSA-912526        SET       4       -1.492    -0.053371       0.5811      0.99486
R-HSA-912631        SET       2    -0.034363  -0.00086945      0.82147      0.51668
R-HSA-9680350       SET       5     -0.84037    -0.033604      0.52009      0.94688
R-HSA-983695        SET       5      0.21342    0.0085339      0.52057      0.34093
R-HSA-9856530       SET      17      0.22183     0.016324      0.28305      0.21664
R-HSA-141444        SET      17     -0.55233    -0.040646      0.30306      0.96576
R-HSA-2467813       SET      21     -0.39526    -0.032308      0.26893      0.92913
R-HSA-2500257       SET      20     -0.57459    -0.045842      0.27555      0.98144
R-HSA-5663220       SET      24     -0.30479     -0.02662      0.25003      0.88853
R-HSA-606279        SET       6     -0.09044    -0.003961      0.54896      0.56542
R-HSA-6783310       SET       9      0.31101     0.016674      0.33674      0.17789
R-HSA-68877         SET      17     -0.55233    -0.040646      0.30306      0.96576
R-HSA-9648025       SET      19      -0.3607    -0.028053      0.28466      0.89739
R-HSA-9833482       SET       7    -0.011571  -0.00054727      0.46202      0.50999
R-HSA-1632852       SET       8      0.25327     0.012804      0.42298      0.27468
R-HSA-165159        SET       2     0.018631    0.0004714      0.81756      0.49091
R-HSA-166208        SET       2     0.018631    0.0004714      0.81756      0.49091
R-HSA-3371571       SET       4      0.20641    0.0073835      0.44005      0.31953
R-HSA-380972        SET       4      0.52621     0.018823      0.58008       0.1822
R-HSA-389357        SET       8     -0.10011    -0.005061      0.43159       0.5917
R-HSA-5218920       SET       6     -0.45602    -0.019972      0.47387      0.83202
R-HSA-5628897       SET      12     -0.60299    -0.037312      0.33657      0.96335
R-HSA-5674400       SET       4      -0.5624    -0.020118      0.57851      0.83447
R-HSA-6804757       SET       4     -0.99369    -0.035546      0.57786       0.9572
R-HSA-8943724       SET      10     -0.16966   -0.0095866      0.36801      0.67759
R-HSA-9639288       SET       7     -0.13002   -0.0061499      0.43968      0.61627
R-HSA-1650814       SET      19    -0.086599   -0.0067351      0.26737      0.62698
R-HSA-6809371       SET       7     -0.20124   -0.0095185       0.4415      0.67572
R-HSA-9013422       SET       7      0.54871     0.025953      0.43925      0.10584
R-HSA-983168        SET      42      0.39951     0.046026      0.17117    0.0098314
R-HSA-2132295       SET      20      0.27693     0.022094      0.25747       0.1411
R-HSA-3371497       SET       5       1.2648     0.050578      0.50038     0.005765
R-HSA-6807878       SET      15      0.61837     0.042759      0.30841     0.022525
R-HSA-6811436       SET      13      0.14946    0.0096242      0.32339        0.322
R-HSA-9013405       SET      13     -0.19382    -0.012481      0.32039      0.72737
R-HSA-9035034       SET      11   -0.0085778  -0.00050826      0.34759      0.50984
R-HSA-9662360       SET      23      0.20521     0.017548      0.23631      0.19262
R-HSA-983231        SET      21     -0.18105    -0.014799      0.25167      0.76403
R-HSA-1799339       SET       5      0.13386    0.0053528      0.42207      0.37557
R-HSA-446203        SET       2      0.16479    0.0041695      0.82299      0.42066
R-HSA-879415        SET       2        1.477     0.037371      0.82299     0.036405
R-HSA-9694548       SET      11     -0.11952    -0.007082      0.33987      0.63744
R-HSA-1169408       SET      10     -0.46774     -0.02643      0.36846      0.89781
R-HSA-375276        SET       6     0.051251    0.0022446      0.47559       0.4571
R-HSA-163125        SET      13     -0.60086    -0.038692      0.32349      0.96833
R-HSA-5689880       SET      27      0.28279     0.026184      0.22255      0.10197
R-HSA-1474228       SET      16      0.28554     0.020389      0.29266      0.16466
R-HSA-1971475       SET       6      0.72423     0.031719      0.47848     0.065115
R-HSA-2022928       SET      13      0.26464     0.017041      0.32558      0.20819
R-HSA-2024096       SET       8      0.53474     0.027034      0.40925     0.095722
R-HSA-216083        SET      20      0.33242     0.026521      0.25923     0.099917
R-HSA-3000157       SET      11     -0.18798    -0.011138      0.34929      0.70475
R-HSA-3000171       SET      13      0.15672     0.010092      0.32142      0.31294
R-HSA-3000178       SET      19     0.054948    0.0042736      0.26709      0.41851
R-HSA-3560783       SET       5      0.80832     0.032323      0.52473     0.061778
R-HSA-3560801       SET       5      0.80832     0.032323      0.52473     0.061778
R-HSA-3656237       SET       6      0.46752     0.020476      0.47843      0.16427
R-HSA-3656253       SET       6      0.46752     0.020476      0.47843      0.16427
R-HSA-4420332       SET       5      0.80832     0.032323      0.52473     0.061778
R-HSA-9694614       SET       7      0.62098     0.029371      0.44266     0.080383
R-HSA-975634        SET       9      0.42934     0.023019      0.39014      0.13561
R-HSA-977225        SET       9     0.081489     0.004369      0.40483      0.42024
R-HSA-9820960       SET       7       1.2047      0.05698      0.44235    0.0032489
R-HSA-9833110       SET      11      0.12454    0.0073791      0.35111      0.36142
R-HSA-2682334       SET       7     -0.11388   -0.0053861      0.44006      0.60209
R-HSA-373760        SET       4      0.55835     0.019973      0.58133      0.16844
R-HSA-3928662       SET       7       0.3353     0.015859      0.43956      0.22282
R-HSA-3928664       SET       5      0.55688     0.022268      0.52083      0.14253
R-HSA-3928665       SET      11   -0.0021407  -0.00012684      0.36379      0.50235
R-HSA-449836        SET       6     0.036808    0.0016121      0.47466       0.4691
R-HSA-8854691       SET       4     -0.52226    -0.018682       0.5819      0.81524
R-HSA-159236        SET      10     -0.49282    -0.027847      0.38311       0.9008
R-HSA-72163         SET      21     0.039028    0.0031901      0.26391      0.44122
R-HSA-72187         SET       7    -0.045368   -0.0021458      0.46598      0.53878
R-HSA-73856         SET       7    -0.045368   -0.0021458      0.46598      0.53878
R-HSA-9013418       SET       6       1.2764     0.055903      0.43635     0.001734
R-HSA-4411364       SET       4     -0.17757   -0.0063521      0.58046      0.62016
R-HSA-8941855       SET       2     0.093715    0.0023712      0.81936      0.45447
R-HSA-8941856       SET       2      0.64364     0.016286      0.82023      0.21634
R-HSA-8941858       SET       4      0.35951      0.01286      0.56829      0.26351
R-HSA-8949275       SET       4     -0.41889    -0.014984      0.56949      0.76897
R-HSA-8951430       SET       4     -0.17757   -0.0063521      0.58046      0.62016
