# MEAN_SAMPLE_SIZE = 321
GENE_SET       NGENES           MU            P
R-HSA-6807505      10      0.51078     0.053131
R-HSA-380270       10      0.44887      0.07808
R-HSA-201451        3      0.55711      0.16728
R-HSA-2173795       5      0.19854      0.32854
R-HSA-139915        3      -0.4504      0.78234
R-HSA-6803204       4     -0.39218      0.78359
R-HSA-6803205       2     -0.59566      0.80022
R-HSA-6803207       3     -0.72527      0.89548
R-HSA-6803211       3     -0.41018      0.76129
R-HSA-6804759       3     -0.88356      0.93704
R-HSA-8939236       8      0.57379     0.052304
R-HSA-1296072      10     -0.12387      0.65214
R-HSA-6798695      71      0.10262      0.19407
R-HSA-1475029       2     -0.90112      0.89874
R-HSA-1257604      23       0.4637     0.013241
R-HSA-1660499       5     -0.46275      0.84961
R-HSA-2219530      17      0.71191    0.0016663
R-HSA-512988        2     -0.12335      0.56924
R-HSA-6811558      22      0.55896    0.0043829
R-HSA-8853659      11     -0.34294      0.87232
R-HSA-912526        4      -1.1967      0.99165
R-HSA-912631        2      0.26044      0.35632
R-HSA-9680350       5     -0.55819      0.89401
R-HSA-983695        5      0.54812      0.11017
R-HSA-9856530      17      0.54154     0.012994
R-HSA-141444       17     -0.27399       0.8707
R-HSA-2467813      21     -0.13943      0.73857
R-HSA-2500257      20     -0.27817      0.89325
R-HSA-5663220      24    -0.033087      0.56438
R-HSA-606279        6     0.085411      0.41714
R-HSA-6783310       9      0.68219      0.02035
R-HSA-68877        17     -0.27399       0.8707
R-HSA-9648025      19     -0.10726      0.67994
R-HSA-9833482       7      0.12369      0.37174
R-HSA-1632852       8      0.66876     0.035437
R-HSA-165159        2      0.39579      0.28783
R-HSA-166208        2      0.39579      0.28783
R-HSA-3371571       4      0.42291      0.19883
R-HSA-380972        4      0.93933     0.030146
R-HSA-389357        8      0.25126      0.23865
R-HSA-5218920       6     -0.21295      0.69903
R-HSA-5628897      12      -0.2565      0.81186
R-HSA-5674400       4     -0.28175      0.71345
R-HSA-6804757       4     -0.80915       0.9472
R-HSA-8943724      10      0.11684      0.35589
R-HSA-9639288       7      0.14164      0.35392
R-HSA-1650814      19      0.23563      0.15222
R-HSA-6809371       7     0.056282      0.44108
R-HSA-9013422       7      0.81582     0.015446
R-HSA-983168       42      0.69136   3.7361e-06
R-HSA-2132295      20      0.50118     0.012537
R-HSA-3371497       5       1.4477   0.00060342
R-HSA-6807878      15      0.99868   5.4895e-05
R-HSA-6811436      13      0.40977      0.06978
R-HSA-9013405      13     0.072527      0.39691
R-HSA-9035034      11      0.32568      0.14004
R-HSA-9662360      23      0.42429     0.021014
R-HSA-983231       21      0.10003      0.32338
R-HSA-1799339       5      0.32058      0.23673
R-HSA-446203        2      0.42966      0.27172
R-HSA-879415        2       1.7877    0.0057338
R-HSA-9694548      11      0.20942      0.24367
R-HSA-1169408      10     -0.17393      0.70885
R-HSA-375276        6      0.23115      0.28563
R-HSA-163125       13     -0.18886      0.75161
R-HSA-5689880      27      0.52149    0.0033667
R-HSA-1474228      16      0.47606     0.028448
R-HSA-1971475       6       1.2362    0.0013404
R-HSA-2022928      13      0.65937    0.0093453
R-HSA-2024096       8      0.81373     0.011104
R-HSA-216083       20      0.66571    0.0014602
R-HSA-3000157      11     0.050004      0.43416
R-HSA-3000171      13      0.50175     0.035249
R-HSA-3000178      19      0.36918     0.054392
R-HSA-3560783       5       1.3374    0.0015394
R-HSA-3560801       5       1.3374    0.0015394
R-HSA-3656237       6      0.93944     0.011261
R-HSA-3656253       6      0.93944     0.011261
R-HSA-4420332       5       1.3374    0.0015394
R-HSA-9694614       7       1.0525    0.0028535
R-HSA-975634        9      0.84887    0.0056689
R-HSA-977225        9      0.40371      0.11292
R-HSA-9820960       7       1.6553   6.8862e-06
R-HSA-9833110      11      0.45615     0.066057
R-HSA-2682334       7      0.21594      0.28389
R-HSA-373760        4      0.90029     0.035884
R-HSA-3928662       7      0.71664     0.028977
R-HSA-3928664       5      0.87049     0.025799
R-HSA-3928665      11      0.29418      0.16461
R-HSA-449836        6      0.35794      0.19031
R-HSA-8854691       4     -0.27391      0.70809
R-HSA-159236       10     -0.25655       0.7914
R-HSA-72163        21      0.29835     0.085779
R-HSA-72187         7      0.15519      0.34068
R-HSA-73856         7      0.15519      0.34068
R-HSA-9013418       6       1.3068   0.00068753
R-HSA-4411364       4     0.027294      0.47823
R-HSA-8941855       2      0.28273      0.34464
R-HSA-8941856       2      0.82236      0.12242
R-HSA-8941858       4      0.62107      0.10709
R-HSA-8949275       4     -0.16689      0.63073
R-HSA-8951430       4     0.027294      0.47823
R-HSA-8951671       2     -0.19808      0.61031
R-HSA-8951911       2      0.45023      0.26215
