FID	IID	is_female
HG00096	HG00096	0
HG00099	HG00099	1
HG00105	HG00105	0
HG00118	HG00118	1
HG00129	HG00129	0
HG00148	HG00148	0
HG00242	HG00242	0
HG00254	HG00254	1
HG00265	HG00265	0
HG00271	HG00271	0
HG00274	HG00274	1
HG00332	HG00332	1
HG00335	HG00335	0
HG00369	HG00369	0
HG00421	HG00421	0
HG00446	HG00446	1
HG00452	HG00452	1
HG00472	HG00472	0
HG00534	HG00534	1
HG00583	HG00583	0
HG00598	HG00598	0
HG00619	HG00619	0
HG00623	HG00623	1
HG00632	HG00632	1
HG00656	HG00656	0
HG00657	HG00657	1
HG00663	HG00663	1
HG00702	HG00702	1
HG00704	HG00704	0
HG00705	HG00705	1
HG00731	HG00731	0
HG00732	HG00732	1
HG00733	HG00733	1
HG00881	HG00881	0
HG01052	HG01052	1
HG01070	HG01070	1
HG01075	HG01075	0
HG01164	HG01164	0
HG01174	HG01174	1
HG01241	HG01241	0
HG01248	HG01248	1
HG01256	HG01256	0
HG01275	HG01275	1
HG01284	HG01284	1
HG01334	HG01334	0
HG01348	HG01348	1
HG01396	HG01396	1
HG01443	HG01443	0
HG01491	HG01491	0
HG01498	HG01498	1
HG01537	HG01537	1
HG01572	HG01572	1
HG01606	HG01606	0
HG01623	HG01623	1
HG01630	HG01630	0
HG01783	HG01783	0
HG01784	HG01784	1
HG01790	HG01790	1
HG01795	HG01795	1
HG01799	HG01799	1
HG01801	HG01801	1
HG01806	HG01806	1
HG01812	HG01812	1
HG01813	HG01813	1
HG01817	HG01817	1
HG01848	HG01848	1
HG01849	HG01849	0
HG01850	HG01850	1
HG01857	HG01857	1
HG01863	HG01863	1
HG01864	HG01864	0
HG01870	HG01870	1
HG01874	HG01874	1
HG01915	HG01915	1
HG01924	HG01924	1
HG01958	HG01958	1
HG01965	HG01965	1
HG01970	HG01970	0
HG01991	HG01991	0
HG02010	HG02010	1
HG02020	HG02020	0
HG02024	HG02024	1
HG02025	HG02025	1
HG02026	HG02026	0
HG02054	HG02054	1
HG02078	HG02078	1
HG02086	HG02086	1
HG02087	HG02087	1
HG02116	HG02116	0
HG02122	HG02122	0
HG02130	HG02130	1
HG02131	HG02131	0
HG02152	HG02152	1
HG02154	HG02154	1
HG02165	HG02165	1
HG02186	HG02186	1
HG02232	HG02232	1
HG02236	HG02236	0
HG02250	HG02250	0
HG02259	HG02259	0
HG02298	HG02298	1
HG02345	HG02345	1
HG02351	HG02351	0
HG02360	HG02360	0
HG02363	HG02363	0
HG02373	HG02373	0
HG02383	HG02383	0
HG02384	HG02384	0
HG02386	HG02386	0
HG02388	HG02388	0
HG02389	HG02389	0
HG02390	HG02390	0
HG02397	HG02397	0
HG02409	HG02409	0
HG02419	HG02419	1
HG02462	HG02462	1
HG02464	HG02464	0
HG02497	HG02497	1
HG02513	HG02513	1
HG02521	HG02521	0
HG02558	HG02558	1
HG02561	HG02561	0
HG02574	HG02574	1
HG02580	HG02580	1
HG02585	HG02585	0
HG02595	HG02595	1
HG02603	HG02603	0
HG02611	HG02611	1
HG02629	HG02629	1
HG02651	HG02651	0
HG02661	HG02661	1
HG02682	HG02682	1
HG02688	HG02688	1
HG02690	HG02690	0
HG02699	HG02699	0
HG02722	HG02722	1
HG02760	HG02760	1
HG02768	HG02768	0
HG02771	HG02771	0
HG02792	HG02792	0
HG02798	HG02798	0
HG02811	HG02811	1
HG02814	HG02814	1
HG02840	HG02840	1
HG02870	HG02870	1
HG02881	HG02881	0
HG02970	HG02970	1
HG02973	HG02973	0
HG03009	HG03009	0
HG03046	HG03046	1
HG03055	HG03055	1
HG03074	HG03074	0
HG03091	HG03091	1
HG03105	HG03105	1
HG03127	HG03127	0
HG03193	HG03193	0
HG03196	HG03196	0
HG03224	HG03224	0
HG03237	HG03237	0
HG03241	HG03241	1
HG03247	HG03247	1
HG03258	HG03258	0
HG03259	HG03259	1
HG03267	HG03267	1
HG03351	HG03351	1
HG03352	HG03352	0
HG03354	HG03354	1
HG03366	HG03366	1
HG03367	HG03367	0
HG03380	HG03380	1
HG03419	HG03419	1
HG03449	HG03449	1
HG03451	HG03451	0
HG03458	HG03458	1
HG03490	HG03490	0
HG03491	HG03491	1
HG03511	HG03511	1
HG03556	HG03556	0
HG03563	HG03563	1
HG03598	HG03598	1
HG03603	HG03603	0
HG03607	HG03607	1
HG03636	HG03636	0
HG03684	HG03684	1
HG03686	HG03686	0
HG03690	HG03690	1
HG03731	HG03731	1
HG03740	HG03740	0
HG03755	HG03755	0
HG03800	HG03800	0
HG03815	HG03815	0
HG03832	HG03832	1
HG03837	HG03837	0
HG03850	HG03850	0
HG03871	HG03871	0
HG03873	HG03873	1
HG03897	HG03897	1
HG03905	HG03905	0
HG03922	HG03922	1
HG03937	HG03937	1
HG03948	HG03948	1
HG03973	HG03973	1
HG03974	HG03974	0
HG04003	HG04003	0
HG04054	HG04054	1
HG04059	HG04059	1
HG04063	HG04063	1
HG04096	HG04096	0
HG04099	HG04099	1
HG04140	HG04140	0
HG04171	HG04171	1
HG04209	HG04209	1
HG04210	HG04210	0
HG04229	HG04229	0
HG04239	HG04239	0
NA07347	NA07347	0
NA11918	NA11918	1
NA11919	NA11919	0
NA12045	NA12045	0
NA12273	NA12273	1
NA12342	NA12342	0
NA12414	NA12414	1
NA12546	NA12546	0
NA12760	NA12760	0
NA12878	NA12878	1
NA18516	NA18516	0
NA18517	NA18517	1
NA18525	NA18525	1
NA18541	NA18541	1
NA18557	NA18557	0
NA18560	NA18560	1
NA18565	NA18565	1
NA18573	NA18573	1
NA18616	NA18616	1
NA18623	NA18623	0
NA18631	NA18631	1
NA18740	NA18740	0
NA18861	NA18861	1
NA18865	NA18865	0
NA18873	NA18873	1
NA18916	NA18916	1
NA18960	NA18960	0
NA18966	NA18966	0
NA18975	NA18975	1
NA18976	NA18976	1
NA18978	NA18978	1
NA18990	NA18990	0
NA19037	NA19037	1
NA19059	NA19059	1
NA19060	NA19060	0
NA19063	NA19063	0
NA19076	NA19076	0
NA19086	NA19086	0
NA19087	NA19087	1
NA19096	NA19096	0
NA19113	NA19113	0
NA19118	NA19118	1
NA19185	NA19185	1
NA19209	NA19209	1
NA19238	NA19238	1
NA19239	NA19239	0
NA19240	NA19240	1
NA19314	NA19314	1
NA19317	NA19317	0
NA19321	NA19321	1
NA19379	NA19379	1
NA19384	NA19384	0
NA19390	NA19390	1
NA19397	NA19397	0
NA19399	NA19399	1
NA19404	NA19404	1
NA19446	NA19446	1
NA19451	NA19451	0
NA19466	NA19466	0
NA19655	NA19655	0
NA19657	NA19657	1
NA19660	NA19660	1
NA19661	NA19661	0
NA19670	NA19670	0
NA19675	NA19675	1
NA19678	NA19678	1
NA19679	NA19679	0
NA19685	NA19685	0
NA19701	NA19701	1
NA19720	NA19720	0
NA19756	NA19756	0
NA19761	NA19761	1
NA19764	NA19764	1
NA19786	NA19786	0
NA20318	NA20318	0
