FID	IID	caffeine_consumption
HG00096	HG00096	50.746
HG00099	HG00099	53.899
HG00105	HG00105	35.699
HG00118	HG00118	45.108
HG00129	HG00129	41.808
HG00148	HG00148	39.167
HG00242	HG00242	64.887
HG00254	HG00254	41.844
HG00265	HG00265	72.174
HG00271	HG00271	62.884
HG00274	HG00274	49.02
HG00332	HG00332	50.737
HG00335	HG00335	43.138
HG00369	HG00369	36.153
HG00421	HG00421	72.967
HG00446	HG00446	60.72
HG00452	HG00452	53.061
HG00472	HG00472	75.297
HG00534	HG00534	76.275
HG00583	HG00583	74.547
HG00598	HG00598	54.19
HG00619	HG00619	81.283
HG00623	HG00623	71.516
HG00632	HG00632	58.062
HG00656	HG00656	54.669
HG00657	HG00657	65.039
HG00663	HG00663	81.068
HG00702	HG00702	69.555
HG00704	HG00704	51.539
HG00705	HG00705	52.038
HG00731	HG00731	48.817
HG00732	HG00732	66.64
HG00733	HG00733	53.311
HG00881	HG00881	71.834
HG01052	HG01052	57.672
HG01070	HG01070	45.834
HG01075	HG01075	69.502
HG01164	HG01164	33.389
HG01174	HG01174	33.032
HG01241	HG01241	59.349
HG01248	HG01248	63.859
HG01256	HG01256	69.592
HG01275	HG01275	38.989
HG01284	HG01284	56.358
HG01334	HG01334	55.908
HG01348	HG01348	53.132
HG01396	HG01396	41.728
HG01443	HG01443	61.894
HG01491	HG01491	53.33
HG01498	HG01498	54.646
HG01537	HG01537	54.795
HG01572	HG01572	27.752
HG01606	HG01606	59.524
HG01623	HG01623	31.291
HG01630	HG01630	61.159
HG01783	HG01783	54.608
HG01784	HG01784	47.52
HG01790	HG01790	39.158
HG01795	HG01795	56.679
HG01799	HG01799	56.286
HG01801	HG01801	55.397
HG01806	HG01806	53.849
HG01812	HG01812	59.261
HG01813	HG01813	61.252
HG01817	HG01817	78.692
HG01848	HG01848	67.095
HG01849	HG01849	57.085
HG01850	HG01850	63.328
HG01857	HG01857	55.412
HG01863	HG01863	54.171
HG01864	HG01864	68.467
HG01870	HG01870	59.097
HG01874	HG01874	62.781
HG01915	HG01915	49.342
HG01924	HG01924	61.524
HG01958	HG01958	38.664
HG01965	HG01965	60.373
HG01970	HG01970	42.547
HG01991	HG01991	36.278
HG02010	HG02010	57.967
HG02020	HG02020	61.433
HG02024	HG02024	81.768
HG02025	HG02025	67.376
HG02026	HG02026	50.093
HG02054	HG02054	47.12
HG02078	HG02078	68.023
HG02086	HG02086	69.436
HG02087	HG02087	51.685
HG02116	HG02116	47.098
HG02122	HG02122	52.725
HG02130	HG02130	48.544
HG02131	HG02131	55.712
HG02152	HG02152	71.937
HG02154	HG02154	53.931
HG02165	HG02165	58.582
HG02186	HG02186	45.031
HG02232	HG02232	69.763
HG02236	HG02236	65.272
HG02250	HG02250	61.578
HG02259	HG02259	47.637
HG02298	HG02298	39.032
HG02345	HG02345	47.34
HG02351	HG02351	59.858
HG02360	HG02360	38.996
HG02363	HG02363	69.835
HG02373	HG02373	52.058
HG02383	HG02383	55.746
HG02384	HG02384	54.384
HG02386	HG02386	85.366
HG02388	HG02388	58.97
HG02389	HG02389	70.188
HG02390	HG02390	71.068
HG02397	HG02397	56.183
