GL000009.2	56140	58376		ENSG00000278704	
GL000194.1	53590	115018		ENSG00000277400	128966690.0
GL000194.1	53594	115055	MAFIP	ENSG00000274847	727764.0
GL000195.1	37434	37534	Y_RNA	ENSG00000277428	
GL000195.1	42939	49164		ENSG00000276256	
GL000205.2	93050	93150	Y_RNA	ENSG00000276932	
GL000213.1	108007	139659		ENSG00000277630	100288966.0
GL000213.1	127840	127946	U6	ENSG00000278793	124905313.0
GL000216.2	93197	93309	U2	ENSG00000274202	
GL000218.1	51867	54893		ENSG00000278384	
GL000219.1	54224	83311		ENSG00000273748	
GL000220.1	105287	105376		ENSG00000276197	
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	100008587.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907114.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907115.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907116.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907117.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907118.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907119.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907120.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907121.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907122.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907123.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907124.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907125.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907126.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907127.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907128.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907129.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907130.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907131.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907132.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907133.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907134.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907135.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907136.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907137.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907138.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907139.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907140.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907141.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907142.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907143.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907144.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907145.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907146.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907147.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907148.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907149.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907150.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907151.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907152.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907153.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907154.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907155.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907160.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907172.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907183.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907194.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907205.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907216.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907227.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907238.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907248.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907258.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907269.0
