GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
29101        1    1541673    1574882      1       1  311       2.8189    0.0024097
728642       1    1702730    1724352      1       1  322      0.83596      0.20159
6497         1    2228695    2310213      1       1  318      0.69924       0.2422
105378594    1    2280383    2284676      1       1  318      0.69924       0.2422
100287898    1    2636988    2789665      1       1  314     -0.60729      0.72817
7161         1    3652565    3736201      1       1  323     -0.74979      0.77331
8514         1    5992298    6101193      1       1  313      -1.7651      0.96123
23261        1    6785324    7769706      2       1  321      0.53035      0.29793
8863         1    7784380    7845181      1       1  322      0.83631      0.20149
10911        1    7847612    7913610      2       1  321    -0.029959      0.51195
765          1    8945785    8975092      1       1  323     -0.49492      0.68967
155184       1    8960853    9026384      1       1  321      0.20059      0.42051
5293         1    9629889    9729114      2       1  322     -0.65076       0.7424
10277        1   10032983   10181239      1       1  320      0.29347      0.38458
378708       1   10430102   10442815      1       1  323    -0.010052      0.50401
100526739    1   10430102   10452003      1       1  323    -0.010052      0.50401
5394         1   11066613   11099910      1       1  323       1.6529     0.049172
2475         1   11106531   11262557      1       1  321      0.66495      0.25304
5351         1   11934667   11975542      1       1  321       1.0504      0.14676
343066       1   12644547   12667086      1       1  320     -0.70637      0.76002
23254        1   13893515   15118048      1       1  323      -1.4269       0.9232
114827       1   15236602   15400283      2       1  320      0.27375      0.39214
23013        1   15847864   15940455      1       1  323     -0.58855      0.72192
54455        1   16246840   16352491      1       1  322      0.87059      0.19199
84966        1   18107746   18378484      1       1  321       1.3419     0.089815
126917       1   18904280   18956667      2       1  323      -0.6225      0.73319
23352        1   19074506   19210319      3       2  321       1.2411      0.10728
832          1   19338773   19485641      1       1  322     -0.44497      0.67183
255104       1   19682213   19800353      1       1  321       1.1178      0.13182
1650         1   20651767   20661544      1       1  322     -0.23728      0.59378
8672         1   20806292   21177320      3       2  322      -1.7789      0.96237
1889         1   21217247   21345541      1       1  321     0.071299      0.47158
249          1   21508982   21578412      1       1  320      -1.9838      0.97636
84196        1   21678298   21783199      1       1  323      -1.5192      0.93565
3339         1   21822232   21937297      1       1  318        2.268     0.011665
23436        1   21976925   21998642      1       1  320     -0.33694      0.63192
2048         1   22710770   22915330      3       2  321       2.3715    0.0088575
6920         1   23380909   23424779      2       1  322      -1.0902      0.86219
163702       1   24154157   24187275      1       1  319      0.43178      0.33295
90529        1   24356999   24415497      1       1  319       1.0961      0.13651
10250        1   24643012   24673281      1       1  323       2.2885     0.011054
864          1   24899511   24965157      1       1  322     -0.57121      0.71607
26119        1   25543580   25591287      1       1  322      0.87978      0.18949
64793        1   26234153   26279038      1       1  318     -0.13013      0.55177
55057        1   26321859   26354130      1       1  319    0.0076954      0.49693
2140         1   27970344   28088675      1       1  322       -1.177       0.8804
10076        1   29236516   29326813      1       1  314      0.90849      0.18181
10657        1   32013694   32060859      1       1  323       1.3426     0.089699
23633        1   32108043   32176568      1       1  317      0.33527      0.36871
200081       1   32179695   32198285      1       1  323      0.24768      0.40219
3932         1   32251239   32286170      1       1  319       0.8841      0.18832
5928         1   32651148   32686211      1       1  320     -0.10409      0.54145
114784       1   33513999   34165842      3       2  320      0.37085      0.35538
9204         1   34986165   35031968      1       1  322       1.1418      0.12676
79932        1   35433490   35557670      1       1  322    -0.041873       0.5167
26523        1   35869791   35924298      1       1  322     -0.22436      0.58876
192669       1   35923403   36056747      1       1  323      -2.1236      0.98315
2899         1   36795527   37034548      2       1  319       1.1883      0.11736
54933        1   38885806   38941830      1       1  323     -0.93824      0.82594
23499        1   39081417   39487138      1       1  323      0.30556      0.37997
10450        1   39738845   39763914      1       1  323      -1.5614      0.94079
6018         1   40161369   40240921      1       1  317      0.83919      0.20068
127396       1   40531155   40548169      2       1  322  -0.00051712      0.50021
59269        1   41506365   42035931      5       3  319       1.1822      0.11855
22887        1   42176539   42335877      1       1  322      0.67433      0.25005
728621       1   42463318   42654664      1       1  320      0.86558      0.19336
128209       1   44043927   44135140      1       1  321     -0.84983      0.80229
79033        1   44221070   44355279      1       1  323       1.9795     0.023881
55182        1   44404783   44651724      1       1  321     -0.55181      0.70946
57643        1   45016399   45206578      2       1  323     -0.20728       0.5821
8569         1   46557407   46604294      3       1  321     -0.71298      0.76207
260293       1   46961364   47050751      1       1  308     -0.32926      0.62902
199974       1   47067448   47118320      1       1  319       2.8329    0.0023065
6491         1   47250139   47314781      1       1  323     -0.67966      0.75164
51727        1   47333797   47378839      1       1  323       1.4247     0.077121
388630       1   47760528   47997371      1       1  323       1.1256      0.13017
84871        1   48532834   50023954      1       1  320      -1.9379      0.97368
7804         1   53242364   53328149      1       1  322     -0.32408      0.62706
606495       1   54172336   54200073      1       1  323       1.0645      0.14356
26027        1   54548134   54634744      1       1  323     -0.20712      0.58204
7268         1   54715822   54742657      1       1  323       1.4063     0.079822
255738       1   55039476   55064853      2       1  322      -1.5505      0.93949
23358        1   55066359   55215368      3       2  322     -0.74359      0.77144
8613         1   56494747   56579584      1       1  319      0.34382      0.36549
731          1   56854770   56918221      2       1  322     -0.58594      0.72104
1600         1   56997906   58250539      5       3  322       1.4763     0.069936
114803       1   58654739   58700092      1       1  322      0.14109       0.4439
55277        1   59296405   59762730      1       1  323       1.2383       0.1078
127795       1   59990394   60073770      1       1  323     -0.13388      0.55325
4774         1   61077257   61462788      1       1  321       3.1931    0.0007037
85440        1   62454726   62688368      3       2  320      0.27384       0.3921
27329        1   62597487   62606305      1       1  321     -0.59429      0.72384
84455        1   63523301   63585365      1       1  323      -1.2891      0.90131
5236         1   63593276   63660245      1       1  322     -0.19693      0.57806
4919         1   63774019   64181498      3       2  318     -0.12713      0.55058
148581       1   64186828   64267368      1       1  320       1.4364      0.07544
57685        1   64470793   64693058      1       1  322      -1.7105      0.95641
3716         1   64833223   64966910      2       1  322      -1.0456      0.85214
3953         1   65420652   65637493      1       1  322     -0.09585      0.53818
5142         1   65792510   66374579      1       1  322      -1.9448       0.9741
400757       1   67092176   67141645      1       1  322     -0.34574      0.63523
1647         1   67685177   67688338      1       1  322      0.41257      0.33996
55970        1   67701466   67833779      1       1  322       1.3795     0.083873
9077         1   68045962   68051733      1       1  322      0.66258       0.2538
57554        1   69568773   70148192      2       1  322      -1.3271      0.90776
5733         1   70852353   71047814      3       2  323    -0.034614      0.51381
257194       1   71402942   72282847      1       1  323     -0.67106      0.74891
127255       1   74026015   74198201      1       1  323       1.1479       0.1255
100526835    1   74198212   74544432      1       1  320       1.1041      0.13478
204962       1   75202131   75724322      1       1  316       1.0503      0.14679
256435       1   76074704   76634601      2       1  321     -0.30024        0.618
81849        1   76867441   77069167      2       1  323      0.49577      0.31003
10026        1   77088981   77219447      1       1  323     -0.78012      0.78234
26289        1   77281977   77559969      2       1  321       0.8888      0.18705
26009        1   77561521   77683426      1       1  320     -0.13153      0.55232
23032        1   77695987   77759879      1       1  323     -0.43851      0.66949
374986       1   77779622   77879540      1       1  320     -0.38432      0.64963
8880         1   77944055   77979205      1       1  322     -0.12953      0.55153
10964        1   78620382   78646145      1       1  322    -0.065696      0.52619
23266        1   81306199   81992738      1       1  323     -0.10043         0.54
5567         1   84077975   84238498      1       1  313      -1.4144      0.92138
255231       1   84925583   84997122      1       1  323     -0.86241      0.80577
55283        1   85018082   85048902      1       1  322      0.79874      0.21222
255631       1   85729233   86156791      2       1  318       -1.016      0.84518
9653         1   86914652   87109998      2       1  323      0.10213      0.45933
84230        1   89615873   89719535      1       1  321       1.0472       0.1475
