# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
29101        1    1541673    1574882      1       1  311       2.3638             0       2.3638
728642       1    1702730    1724352      1       1  322      0.60243   -1.1102e-16      0.60243
6497         1    2228695    2310213      1       1  318      0.50008   -1.1102e-16      0.50008
105378594    1    2280383    2284676      1       1  318      0.50008   -1.1102e-16      0.50008
100287898    1    2636988    2789665      1       1  314     -0.85307   -1.1102e-16     -0.85307
7161         1    3652565    3736201      1       1  323      -1.0078   -2.2204e-16      -1.0078
8514         1    5992298    6101193      1       1  313      -2.0457             0      -2.0457
23261        1    6785324    7769706      2       1  321      0.16633   -1.3878e-16      0.16633
8863         1    7784380    7845181      1       1  322      0.60009   -1.1102e-16      0.60009
10911        1    7847612    7913610      2       1  321     -0.46658   -1.1102e-16     -0.46658
765          1    8945785    8975092      1       1  323     -0.76606   -1.1102e-16     -0.76606
155184       1    8960853    9026384      1       1  321    -0.031123   -1.3184e-16    -0.031123
5293         1    9629889    9729114      2       1  322      -1.0249   -2.2204e-16      -1.0249
10277        1   10032983   10181239      1       1  320      0.08845    -1.249e-16      0.08845
378708       1   10430102   10442815      1       1  323     -0.28725   -1.1102e-16     -0.28725
100526739    1   10430102   10452003      1       1  323     -0.28725   -1.1102e-16     -0.28725
5394         1   11066613   11099910      1       1  323       1.3176   -2.2204e-16       1.3176
2475         1   11106531   11262557      1       1  321      0.43712   -1.1102e-16      0.43712
5351         1   11934667   11975542      1       1  321      0.82515   -1.1102e-16      0.82515
343066       1   12644547   12667086      1       1  320     -0.90298   -1.1102e-16     -0.90298
23254        1   13893515   15118048      1       1  323      -1.7046   -2.2204e-16      -1.7046
114827       1   15236602   15400283      2       1  320    -0.076401    -1.249e-16    -0.076401
23013        1   15847864   15940455      1       1  323     -0.85911   -1.1102e-16     -0.85911
54455        1   16246840   16352491      1       1  322      0.63124   -1.1102e-16      0.63124
84966        1   18107746   18378484      1       1  321       1.1192   -2.2204e-16       1.1192
126917       1   18904280   18956667      2       1  323      -1.0395   -2.2204e-16      -1.0395
23352        1   19074506   19210319      3       2  321      0.85329   -1.1102e-16      0.85329
832          1   19338773   19485641      1       1  322     -0.68866   -1.1102e-16     -0.68866
255104       1   19682213   19800353      1       1  321      0.90756   -1.1102e-16      0.90756
1650         1   20651767   20661544      1       1  322     -0.48309   -1.1102e-16     -0.48309
8672         1   20806292   21177320      3       2  322      -2.1955             0      -2.1955
1889         1   21217247   21345541      1       1  321     -0.15857   -1.3878e-16     -0.15857
249          1   21508982   21578412      1       1  320      -2.2173             0      -2.2173
84196        1   21678298   21783199      1       1  323      -1.7735   -2.2204e-16      -1.7735
3339         1   21822232   21937297      1       1  318       2.0702             0       2.0702
23436        1   21976925   21998642      1       1  320     -0.55319   -1.1102e-16     -0.55319
2048         1   22710770   22915330      3       2  321       1.9842   -2.2204e-16       1.9842
6920         1   23380909   23424779      2       1  322      -1.4738   -2.2204e-16      -1.4738
163702       1   24154157   24187275      1       1  319      0.23643   -1.3878e-16      0.23643
90529        1   24356999   24415497      1       1  319      0.88871   -1.1102e-16      0.88871
10250        1   24643012   24673281      1       1  323       2.0302             0       2.0302
864          1   24899511   24965157      1       1  322     -0.80409   -1.1102e-16     -0.80409
26119        1   25543580   25591287      1       1  322      0.65005   -1.1102e-16      0.65005
64793        1   26234153   26279038      1       1  318     -0.39748   -1.1102e-16     -0.39748
55057        1   26321859   26354130      1       1  319     -0.18124   -1.3878e-16     -0.18124
2140         1   27970344   28088675      1       1  322      -1.5755   -2.2204e-16      -1.5755
10076        1   29236516   29326813      1       1  314      0.65877   -1.1102e-16      0.65877
10657        1   32013694   32060859      1       1  323       1.0859   -2.2204e-16       1.0859
23633        1   32108043   32176568      1       1  317      0.12309    -1.249e-16      0.12309
200081       1   32179695   32198285      1       1  323     -0.11243    -1.249e-16     -0.11243
3932         1   32251239   32286170      1       1  319      0.68015   -1.1102e-16      0.68015
5928         1   32651148   32686211      1       1  320     -0.31019   -1.1102e-16     -0.31019
114784       1   33513999   34165842      3       2  320    -0.010766    -1.301e-16    -0.010766
9204         1   34986165   35031968      1       1  322       0.8993   -1.1102e-16       0.8993
79932        1   35433490   35557670      1       1  322     -0.28536   -1.1102e-16     -0.28536
26523        1   35869791   35924298      1       1  322     -0.45541   -1.1102e-16     -0.45541
192669       1   35923403   36056747      1       1  323       -2.378             0       -2.378
2899         1   36795527   37034548      2       1  319      0.85423   -1.1102e-16      0.85423
54933        1   38885806   38941830      1       1  323      -1.2092   -2.2204e-16      -1.2092
23499        1   39081417   39487138      1       1  323     0.032806   -1.3184e-16     0.032806
10450        1   39738845   39763914      1       1  323      -1.8364   -2.2204e-16      -1.8364
6018         1   40161369   40240921      1       1  317      0.64705   -1.1102e-16      0.64705
127396       1   40531155   40548169      2       1  322     -0.38424   -1.1102e-16     -0.38424
59269        1   41506365   42035931      5       3  319      0.55847   -1.1102e-16      0.55847
22887        1   42176539   42335877      1       1  322       0.4228   -1.1102e-16       0.4228
728621       1   42463318   42654664      1       1  320      0.64691   -1.1102e-16      0.64691
128209       1   44043927   44135140      1       1  321      -1.0646   -2.2204e-16      -1.0646
79033        1   44221070   44355279      1       1  323       1.7039   -2.2204e-16       1.7039
55182        1   44404783   44651724      1       1  321     -0.77238   -1.1102e-16     -0.77238
57643        1   45016399   45206578      2       1  323     -0.61717   -1.1102e-16     -0.61717
8569         1   46557407   46604294      3       1  321      -1.2201   -2.2204e-16      -1.2201
